char	pengim	annot
部	bou6	
郭	gueh4	
郯	tam5	
鄲	dang1	
都	dou1	
郪	ci1	
郴	dim1	
郫	bi1	
郾	iam2	
鄄	giang3	
鄂	ngak8	
郿	bhai5	
郿	mi6	又
鄗	hau2	
鄌郚	tang5 u5	
鄣	ziang1	
鄣	ziang3	
鄘	iong5	
鄜	hu1	
鄠	hu6	
鄢	iang1	
鄞	ngvng5	
鄚	mok8	
鄙	pi2	
鄯	siang6	
鄱	po1	
鄱	bo1	又
酇	zang3	
酇	co5	
酃	leng5	
酆	hong1	
凶	hiong1	
兇	hiong1	
函	ham5	
幽	hiu1	
豳	bing1	
刀	do1	
刁	diau1	
刃	rim2	
切	ciak4	
分	hung1	文
分	bung1	白
分	hung7	
芻	cu1	
危	ngui5	
危	guin5	方
負	hu6	
爭	zen1	
色	sek4	
龜	gu1	
龜	giu1	方
龜茲	kiu1 cv5	
奐	huang3	
券	guang3	
剪	ziang2	白
剪	zoin2	白
象	cion6	
象	siang6	
棼	hung1	
夐	heng6	
夐	heng3	又
劈	pek4	
劈	poh4	又
力	lak8	
辦	poin7	
辦	bain7	又
辦	bang7	文
勸	kvng3	
功	gong1	文
功	gang1	白、方
勱	mai6	
加	gia1	文
加	ge1	白、方
動	dong6	文
動	tang6	白
動	dang6	白
劣	luak4	
劫	giap4	
勞	lau5	文
勞	lv5	白
勵	li6	
助	zo6	
男	nam5	
劬	gu1	
剄	gen3	
努	no3	
劭	siau6	
劾	kek4	
劾	hek4	又
劼	kiak4	
勢	si3	
𠡒	dui2	
劻	kuang1	
勃	buak8	
勳	hvng1	
勉	miang2	
勇	iong2	
勍	keng5	
勣	zeh4	
勐	meng2	
勘	kam1	
勘	kam3	又
勩	hi6	
勩	si3	又
勖	hiok4	
𠢕	ghau5	
勤	kvng5	
募	mo6	
勰	hiap8	
汁	zap4	
汀	teng1	
汀	deng1	俗
匯	hue6	
彙	lui2	
彙	hue6	又
漢	hang3	
汈	diau1	
汗	guan7	白
汗	hang2	文
汗	hang5	bound
污	u1	
江	gang1	
汏	tuah4	方
汏	tua7	方
汛	sing3	
汕	suan3	
汕	suan1	俗
汐	sek4	
湯	tvng1	
汊	ce1	
汜	sv6	
池	di5	
汝	rv2	文
汝	lv2	白
汴	biang6	
汶	bhung5	俗
汶	bhung7	文
沆	hang5	
潙	ui5	
沁	cim3	
滬	hu6	
沉	dim5	
沈	sim2	
瀋	sim2	
灃	hong1	
汪	uang1	
沛	pai3	
沞	zap4	方
漚	au1	
漚	au3	方
汧	kiang1	
汫	zian2	方！
沅	nguang5	
潕	bhu2	
沐	mok8	
沔	miang2	
汰	tai3	
汰	tua7	方
瀝	leh8	
沘	bi2	
沚	zi2	
沏	ciak4	
沌	dung6	bound
洰	gv2	
洰	gek8	
汩	guk8	
汨	mek8	
汨	mik8	又
汭	rue7	
泛	huang3	
汎	huang3	
氾	huang3	
滄	cang1	
汹	hiong1	
洶	hiong1	
汾	hung1	
淪	lung5	
沃	ok4	
沃	ak4	方
汽	ki3	
沂	ki5	
渢	hong1	
沕	bhih4	方
沒	mok8	
沒	muk8	又
溝	gau1	
汲	kip4	
沙	sua1	白
沙	sa1	文
泐	lek8	
濘	leng5	
沱	to5	
泣	kip4	
注	zu3	
註	zu3	
注	zu3	文
注	du3	白
泫	hiang5	
泮	puang3	
泌	bi3	
泳	iong3	
沫	bhuah8	
沫	muak8	又
淺	ciang2	
淺淺	ziang1 ziang1	
法	huak4	
沽	gou1	
沭	suk8	
河	ho5	
泔	gam1	
洩	siap8	
沾	diam1	
霑	diam1	
瀘	lu5	
瀧	long5	
瀧	sang1	
淚	lui6	
沮	zu1	
沮	zu1	俗
油	iu5	
泱	iang1	
泂	guang2	
潑	puah4	
潑	puak4	方
泅	siu5	
泗	sv3	
泠	leng5	
泆	ik8	
泆	ek8	又
泊	boh8	
泊	boh4	
波	bo1	
沿	ing5	
沿	iang5	又
泃	gu1	
泖	bhau2	
濼	lok8	
泡	pa6	
泡	pau3	
泡	pau1	
涇	geng1	
治	di7	
治	di5	方
治	tai5	方
泯	ming5	
澤	zek8	
沸	huk4	
泓	hong5	
泥	ni5	
沼	riao3	
滻	suan2	
瀏	liu5	
瀏	liu3	俗
濟	zi3	
洨	ngau5	
洨	gau1	又
濃	long5	
洲	ziu1	
洋	ion5	白
洋	iang5	文
渾	hung6	
渾	hung1	
浒	hv2	
浒	hu2	
瀉	sia3	
浹	hiap8	
浹	giap8	又
洭	kang1	
窪	ua1	
潔	giak4	
洘	ko2	
澆	nau1	
洱	rv2	
洪	hong5	文
洪	ang5	白
洹	huang5	
灑	sai3	
澾	dak8	
洿	u1	
洧	ui2	
洊	zing3	
洸	guang1	
泚	cv2	
洌	liak8	
湞	zeng1	
濁	zuak8	
濊	ue3	
洄	hue5	
浉	sv1	
洞	dang7	白
洞	tong7	文
洞	tong5	
湮	ing1	
湮	ing7	又
測	cek4	
洽	ziap8	
洮	tau1	
洮	to5	白
洕	ing7	方
洙	zu1	
洗	soi2	
洗	siang2	
活	uah8	
活	guak4	方
洑	hok8	
涎	iang6	
洎	gi6	
洢	i1	
洫	hak4	
派	pai3	
洺	meng5	
洛	lok8	
洵	sung5	
津	zing1	
潯	cim5	
濜	zing6	
洳	ru5	
浣	uang2	
澣	uang2	
𣶍	zvng7	方
流	liu5	文
流	lau5	白
潤	rung6	
澗	gang2	
涕	ti3	
浪	lang6	文
浪	nvng7	白
淶	lai5	
浦	pou2	
澇	lau3	
澇	lau5	俗
浙	zik4	
涑	sok4	
浯	u5	
酒	ziu2	
濤	tiu5	
𣴨	pin7	方
漣	liang5	
消	siau1	
涉	siap8	
涅	niap4	
渦	o1	
渦	gue1	
浬	li2	
浬	hai2 li2	
浞	cok4	
涓	giang1	
溳	ung5	
浥	ip4	
浥	ih4	方
潿	ui5	
涔	ngim5	
浮	pu5	
浮屠	pu5 tu5	
浛	ham5	
涂	tu5	文
塗	tou5	方
浠	hi1	
浴	iok8	文
浴	ek8	白
澮	guai3	
浩	hau1	
浩	hau2	又
海	hai2	
浜	bang1	
浜	bing1	俗
滌	dek8	
渙	huang3	
漲	ziang3	
浼	mue6	
浼	mue2	又
湧	iong3	
湧	eng2	方
浚	zung3	
涘	sv6	
澀	siap4	
浸	zim3	
淧	bhik8	方
淙	zong1	
淀	deng6	
淀	diang6	
瀋	sim2	
涴	u3	
涪	pou2	
淳	sung5	
淬	zui6	
液	ek8	
液	sioh8	方
淤	v3	
淯	iok8	
淡	dan6	白
淡	dam6	文、方
深	cim1	
清	ceng1	
漬	zv3	
漬	zv7	又
淩	leng5	
渚	su2	
瀆	dok8	
淇	ki5	
淋	lim5	文
淋	nam5	白
淋	lim5	
淞	song5	
淅	sek4	
淹	iam1	
淹	im1	方
涯	ngai5	
涿	dok8	
渠	kv5	
佢	kv5	
漸	ziam6	
漸	ziam1	
淑	sok4	
淖	zau6	
淖	cioh4	方
混	hung6	
淠	pi3	
涸	hak4	
涸	ko2	訓
澠	miang2	
澠	sing5	
淫	im5	
婬	im5	
淦	gam3	
淆	ngau5	
淆	nau1	又
殽	ngau5	
殽	nau1	又
淵	iang1	
添	tiam1	文
添	tin1	白
淮	huai5	
淝	bui5	
漁	hv5	
淘	tau5	文
淘	do5	白
淴	huk4	
滲	cam1	
潚	sok4	方
涮	suang3	
涮	sueh4	俗
涵	ham5	
淥	lok8	
淄	zv1	
渲	suang1	
渟	teng5	
渧	di3	方
渡	dou7	
遊	iu5	
游	iu5	
灣	uang1	
溠	za1	
漊	lau5	
湔	ziang1	
滋	zv1	
澒	hong6	
濆	hung5	
濆	pung5	又
湁集	zap8 zip8	方！
湛	dam1	
湛	zam3	又
湛	kam1	俗
港	gang2	
渫	siak4	
滯	ti3	
溚	dap4	
湖	ou5	
渿	nai6	
湘	siang1	
渣	za1	
湮	ing1	
渤	buak8	
湎	miang2	
湎	miang5	俗
湨	gek8	
渺	miau2	
溼	sip4	
濕	sip4	
湜	sik8	
湜	sek4	又
潰	kui6	
濺	ziang2	
濺	ziang1	bound
溫	ung1	
渴	guah4	
渭	ui2	
滑	guk8	
湍	zuang1	
湲	uang5	
漵	su6	
渝	ru5	
湓	pung5	
湃	pai3	
湫	ciu1	
湫	ciau2	
湟	huang5	
溲	siau1	
溲	sou2	
溉	kai3	
湣	miang2	
湣	ming5	又
渥	ok4	
湑	su1	
湄	bhai5	
湄	mi5	又
滁	tu5	
滁	cu5	又
滓	zai2	
溶	ion5	訓
溶	iong5	又
濱	bing1	
滂	pang5	
滈	hau2	
漷	gueh4	
滾	gung2	
灤	luang5	
漓	li5	bound
灕	li5	
溏	tang5	
溟	meng5	
滘	ga3	
溯	suak4	
溯	su3	又
溢	ek4	
溢	i3	又
灩	iam7	
溱	zing1	
溱	cing5	
溹	sok4	方
溘	kap4	
㼆	eng5	
㼆	iong5	又
㴷	dam5	方
灄	niap4	
滿	muan2	
漠	moh8	
漠	mok8	又
溥	pou2	
滒	go1	方
滒	ga3	方
滆	geh4	
溧	liak8	
滇	diang1	
滇	diang6	俗
溽	rok8	
源	nguang5	
濾	lv6	
溻	tap4	
溷	hung6	
溦	mui5	
滍	di6	
濫	nam6	
滔	tau1	
溪	koi1	
滏	hu2	
滃	ong2	
滃	ong1	
潷	bik4	
溴	hiun3	
溜	liu1	
霤	liu3	文
霤	lau3	白
灘	tuan1	
澦	v6	
溺	nek8	
㴩	iong1	
演	ing5	
演	iang5	又
漳	ziang1	
滴	dih4	
漉	lok8	
漩	suang5	
漾	iang6	
漖	ga3	
瀠	eng5	
瀠	iong5	又
瀟	siau1	
灠	nam2	
漂	piau1	
漂	bio3	
漂亮	piau1 liang6	
漕	cau5	文
漕	zo5	白
漱	sok4	
漱	suak4	又
漱	ciu3	方
潢	huang5	
漆	cak4	
漙	tuang5	
漘	dung5	
滹沱	hu1 to5	
漫	bhuang6	
漫	bhuang2	又
漯	lo5	
漯	tak4	
漶	huang6	
瀦	zu1	
⿰氵⿱孚冗	nim3	方！
瀲灧	niam2 iam7	
漪	i1	
漪	i2	俗
澉	gan2	
漏	lau7	
漏	lau2	方
濰	rui5	
潼	tong5	
澈	tiak4	
瀾	lang5	
潛	ciam5	
澍	su6	
澎	pen5	
澎湖	pen5 ou5	
潵	sak4	
澌	sv1	
𣿅	dong6	方
潮	dio5	
潸	sang1	
潭	tam5	
潦	lau2	
潦	lau5	又
潦	liau5	
潦	liau2	文
潦	lo2	白
㵐	kiak4	
潘	puan1	
潘	pung1	方
潲	sao3	
潟	sek4	
澳	o3	
澄	teng5	
瀓	teng5	
澄	ting5	
潺	cang5	
㵤	siap4	方
澶	siang5	
濂	niam5	
濛	mong5	
瀨	nai6	
瀕	ping5	
澽	gv6	
濉	zui1	
潞	lu6	
澡	cau3	
澧	li2	
澴	huang5	
激	gek4	
澥	hai6	
澹	dan6	
澹臺	tam5 tai5	
濠	hau5	
濡	ru5	
濮	pok4	
濞	pi3	
濯	dek8	
濯	zuak8	又
瀍	tiang5	
瀔	gok4	
灌	guang3	
瀑	pak8	
濯	bau6	
瀛	uang1	
瀛	iong5	文
瀚	hang5	
瀚	hang2	又
瀣	hai6	
瀽	giang2	
瀹	iak4	
灞	ba3	
灝	hau2	
憶	i3	
憶	ek8	又
忉	dau1	
忙	mang5	
忖	cung2	
懺	ciam1	
懺	cam3	又
忭	biang6	
忱	sim5	
憮	bhu2	
忮	gi6	
憂	iu1	
懷	huai5	
慪	au3	
忡	cong1	
忪	song1	
忪	zong1	
愴	cang1	
愴	cang3	又
忤	ngou2	
愾	kai3	
悵	ziang3	
忝	tiam2	
忻	hvng1	
快	kuai3	文
快	kue3	白
快	kuan3	方
忸怩	niu2 ni5	
怦	peng5	
怔	zeng1	
怯	kiak4	
怙	hu6	
怵	tuk4	
怖	bu3	
𢤱	lang6	
怛	dak4	
怏	iang3	
憐	liang5	
性	sen3	
怍	za3	
怕	pan3	
㥮	ca2	
懌	ek8	
怪	guai3	
怪	gue3	方
𢙼	heng6	方
怩	ni5	bound
怫	huk4	
怡	i5	
惱	nau2	
惲	hung6	
恇	kuang1	
慟	tong3	
恃	si6	
恭	giong1	
恆	heng5	
恓惶	ci1 huang5	
恢	kue1	
懨	iam1	
恍	huang2	
恫吓	tong5 heh4	
愷	kai2	
惻	cek4	
恰	kap4	
恬	tiam5	
恬	diam5	方
恬	diam7	又、方
恤	suk4	
恪	kak4	
恂	sung5	
恨	hvng6	
憫	miang2	
悌	di6	
悅	ruak8	
悅	ruah8	方
悖	bue6	
悖	buak8	俗
悟	ngo6	
悚	song2	
悄	ciau2	
悄	ciau1	
悍	hang2	
悝	kue1	
悝	kui1	又
悃	kung2	
悒	ip4	
慳	giang1	
悔	hue3	
悛	cuang5	
惋	uang2	
惇	dung1	
驚	gian1	
悴	zui6	bound
惦	diam3	
憚	dang6	
惓	kuang5	
惓	kung5	又
悷	li7	方
愜	giap4	
情	ceng5	
情	zian5	
悻	heng6	
惜	sioh4	
慚	cam5	
悱	hui2	
悼	zau6	
惘	bhuang2	
懼	gu6	
惕	tek4	
惆悵	tiu5 ziang3	
惆悵	ziu1 ziang3	俗
悸	gui3	
悸	guin7	又
悸	kui6	俗
惟	rui5	
惟	rui6	又
惛	hung1	
惚	huk4	
慘	cam2	
惙	cuak4	
慣	guang3	方
慣	guin3	白、方
愔	im1	
憤	hung2	
慌	huang1	
愊	bek4	方
惰	duan6	
慍	ung2	
惺	seng1	
憒	kui6	
愕	ngak8	文
愕	ngoh8	
愣	leng5	
惴	cui2	
愉	ru5	
愎	bek4	
愀	ciau2	
惶	huang5	
愧	kui6	
慨	kai3	
慊	kiam2	
慊	kiak4	
愫	su3	
慕	mo6	
懾	niap4	
慎	sing2	
慥	zau6	
慥	cau3	又
慵	iong5	
慷	kang1	
慢	mang7	
慢	bhuang6	
憧	tong5	
憧	dong5	又
憎	zeng1	
懂	dong2	
憓	hui6	
憬	geng2	
憔悴	ziau1 zui6	
懊	o3	
懊	au3	文
懍	lim2	
憷	co2	
懶	lang2	
憾	ham6	
㦙	nga3	方！
懈	hai6	
懦	no3	
懵懂	mong2 dong2	
寧	leng5	
宄	gui2	
宄	kui2	又
它	ta1	
宇	u2	
守	siu2	
宅	teh8	
安	uan1	白
安	ang1	文
字	ri7	
字	rv6	
完	uang5	
宋	song3	
宏	hong5	
牢	lo5	
寵	tong2	
實	sik8	
宓	mik8	
寶	bo2	
宗	zong1	
定	dian7	白
定	deng6	文
宕	dang6	
宕	dang3	又
宜	ngi5	
官	guan1	
審	sim2	
宙	diu6	
宙	diu2	又
宛	uang2	
宣	suang1	
宦	huang6	
宥	iu6	
宬	seng5	
室	sik4	
宮	geng1	
憲	hiang3	
客	keh4	
宰	zai2	
害	hai7	
寬	kuang1	文
寬	kuan1	白、方
宧	i5	
宸	sing5	
家	ge1	白
家	gia1	文
家	ga1	方、bound
家	kia1	方
宵	siau1	
宴	ang3	
容	iong5	
賓	bing1	
密	mik8	文
密	bhak8	白、方
寅	ing5	
寄	gia3	
寇	kou3	文
寇	kau3	白、方
寂	sok4	
宿	suah4	
宿	siau1	
宿	siu3	
宿	siu7	方
寒	hang5	文
寒	guan5	白、方
富	bu3	
寔	sik8	
寓	ngo6	
寓	ngo5	俗
寐	mue6	
寢	cim2	
寢	zim2	又
塞	sak4	文
塞	tak4	白
塞	sai3	
騫	kiang1	
寞	mok8	
蜜	bhik8	白
蜜	mik8	文
寨	ze7	
賽	sai3	
搴	kiang1	
寡	guan2	
察	cak4	
寥	liau5	
寤	ngo6	
寮	liau5	
褰	kiang1	
寰	huang5	
豁	hak4	
謇	kiang2	
蹇	kiang2	
𡫬	gek4	方
廣	guang2	文
廣	gvng2	白
廣	am1	
莊	zuang1	文
莊	zvng1	白
莊	zang1	
慶	keng3	
應	eng3	
應	ing3	方
虜	lu5	
廡	bhu5	
牀	cvng5	
床	cvng5	
庋	gi2	
庋	gui2	又
庫	kou3	
庇	bi3	
序	su6	
龐	pang5	
龐	pang5	文
龐	bong5	白
店	diam3	
廟	bhio7	
廢	hui3	
府	hu2	
庖	pau5	
底	doi2	白
底	di2	文
底	di7	又
庚	gen1	
庠	siang5	
廊	lang5	
度	dou7	
度	dak8	
庥	hiu1	
席	cioh8	+姓
蓆	cioh8	
席	siah8	
座	zo7	
唐	tang5	文
唐	dvng5	白、方
庭	teng5	文
庭	dian5	白、方
庶	su3	
庹	toh4	
庵	am1	
庳	bi1	
廎	keng2	
庾	ru5	
庸	iong5	
康	kang1	
廋	sou2	
廉	niam5	
廉	niam3	
廓	guak4	
廒	ngau5	
廑	gvng2	
腐	hu1	
腐	hu7	
廖	liau7	
廛	tiang5	
廩	lim2	
穈	mi5	
廨	hai6	
廨	gai3	俗
門	mung5	
閂	suang1	
閂	cuan3	訓
閃	siam2	
閉	bi6	
問	mung7	
闖	cuang3	
閔	miang2	
悶	bhung7	
悶	bhung6	又
閏	rung7	
閒	oin5	
閑	oin5	
闈	ui5	
閎	hong5	
間	gang1	
間	goin1	
間	goin3	
鬧	nau7	
鬧	nau6	又
鬧	lau7	方
閟	bi3	
閘	zah8	
閡	hek4	
閡	hai6	又
閡	hoin6	方
閨	gui1	
聞	bhung6	
闥	tak4	
閩	mang5	
閭	lv5	
闓	kai2	
閤	kap4	
閤	goh4	
閥	huak8	
閣	goh4	
閱	luak4	
閱	luah8	方
閬	lang5	
閬	lang3	方
閫	kung2	
䦷	cui2	bound
鬮	kau1	
闡	siang5	
閼氏	iang1 zin1	
閾	hok8	
閹	iam1	
閶	ciang1	
閿	bhung5	
鬩	hek4	
鬩	ngi3	俗
閻	ngiam5	
閽	hung1	
闊	kuah4	
闌	lang5	
闃	kuak4	
闋	kueh4	
闕	kueh4	
闕	kiak4	又
闔	kap4	
闐	tiang5	
闞	kam2	
闞	ham2	
遼	liau5	
邊	biang1	文
邊	bin1	白
迂	u1	
達	dak8	
過	gue3	
邁	mai6	
遷	ciang1	
迄	ngvk4	
迅	sing3	
巡	sung5	
這	ze2	
迒	hang5	
進	zing3	
遠	iang2	文
遠	hen6	白
違	ui5	
運	ung7	
還	huang5	文
還	hoin5	白
還	huan1	白
迍邅	dung1 ziang1	
連	liang5	
連	ling5	又
連	hian5	
迓	ghia3	
迕	ngou2	
近	gvng6	
返	huang2	文
返	dvng2	訓
迎	ngeng5	
遲	ci5	
遲	di5	方
述	suk8	
迪	dek8	
迥	guang2	
迭	diak4	
迮	zeh4	
迤	i2	
迤	i5	bound
迫	bek4	
邇	ni2	
邇	rv2	又
迨	dai6	
迢	tiao1	
迦	gia1	
跡	ziah4	
迹	ziah4	
送	sang3	
迸	beng6	文
迸	bong3	白
迷	mi5	
逆	ngek8	
逆	geh8	方
逃	do5	
適	sek4	
適	dek8	
選	suang2	
追	dui1	
逅	hou6	bound
逄	pang5	
迻	i5	
退	to3	
遜	sung3	
遞	di6	
逑	kiu5	
逝	si7	
邐	li2	
逗	dau7	
逗	dau1	又
逋	bu1	
速	sok4	
逐	dok8	
逍遙	siau1 iau5	
逞	teng2	
途	tu5	
造	zau6	
透	tau3	
逢	hong5	
𨓈	guak4	
逖	dek8	
逛	guang3	
逡	cung1	
逡	zung3	俗
通	tong1	
逭	guang2	
逵	kui5	
逴	doh4	
邏	lo5	
逶迤	ui2 i5	
逸	ik8	
逮	di6	
逮	dai6	又
逯	lok8	
遒	iu5	
道	dau6	
遂	sui5	
遍	bing3	
遍	biang3	又
逼	bek4	
遇	ngo6	
遺	rui6	
遏	hak4	
遄	zuang1	
逾	ru5	
遑	huang5	
遁	dung6	
遐	hia5	
遐	hia3	俗
遨	ngau5	
遨	ngau6	俗
遘	gou3	
遢	dah4	bound
遣	kiang2	
遝	dah8	
遙	iau5	
遛	liu3	
遮	zia1	
遭	zau1	
遴	ling5	
遵	zung1	
暹	siam5	
邆	teng5	
遹	luk8	
邅	ziang1	
遽	gv6	
邀	iau1	
邀	hiau1	又
邀	giau1	方
邂逅	hai6 hou6	
避	bi7	
邃	sui5	
邈	miau2	
邋遢	lah4 dah4	
邋遢	lap4 tap4	又
寸	cung3	
對	dui3	
寺	ri7	
導	dau6	
尋	cim5	
尋	cin5	方
尋	siam5	方
壽	siu7	
將	ziang1	
將	ziang3	
封	hong1	
封	huang1	白
耐	nai6	
辱	rok8	
射	sia7	
射	iah4	
射	ia7	
尉	ue3	
尉	uk4	文
尊	zung1	
扎	zak4	
紮	zak4	
紥	zak4	
打	da2	
打	pah4	訓
打	deng3	方
撲	pok4	
扒	ba1	
扒	be5	
扔	reng5	
擴	kuang3	
擴	kuak4	又
捫	mvng5	
扞	hang2	
扛	gvng1	
扛	gang1	文
扣	kau3	
扣	ka3	俗
釦	kau3	
扦	ciang1	
托	toh4	
託	toh4	
執	zip4	
扱	zap4	方
扚	dek8	方
掃	sau3	
揚	iang5	
揚	cion5	方
颺	iang5	
抖	dau2	
抃	biang6	
抆	bhung5	
抗	kang3	
護	hu6	
扶	hu5	
撫	bhu2	
摶	tuang5	
技	gi6	
抔	pou5	
抔	pong2	俗
摳	kau1	
擾	riau2	
扼	eh4	
拒	gv6	
扽	dung3	方
找	dau2	
批	poi1	
扯	ce2	
抄	cau1	
抄	sa1	方
掆	gvng1	
掄	lung5	
扮	bang3	
扮	buang6	方
搶	cion2	
搶	cang1	
折	zih4	
折	zih8	又
摺	zih4	
摺	zih8	又
抓	zua1	
扳	bang2	
投	dau5	
扺	zi2	
抑	ak4	
拋	pau1	文
拋	pa1	白
抒	su1	
抉	guak4	
抉	ueh4	
扭	niu2	
扭	nau6	方
把	ba2	文
把	be2	白
擬	ngi2	
㩳	sang2	
報	bo3	
擓	guai3	
擰	leng5	
拕	dua6	方
拉	la1	
拄	zu2	
拄	zu6	俗
攔	lang5	
拌	puang3	
抨	peng5	
抹	bhuah4	
拓	tak4	
搨	tak4	
拔	buak8	文
拔	boih8	白
攏	long2	
揀	gang2	文
揀	goin2	白
拈	niam1	文
拈	ni1	白
擔	dang1	文
擔	dan1	白
擔	dan3	
押	ah4	
抽	tiu1	
捵	diang2	
拐	guai2	
柺	guai2	
拎	leng5	
抶	diak4	方
拃	zak4	
拖	tua1	
拖	to1	方
拊	hu2	
拊	bhu2	方
拍	pah4	
拆	tiah4	
擁	iong3	
擁	ong6	方
抵	di2	文
抵	doi2	白
拘	ku1	
抱	po6	白
抱	pau6	文
抿	ming5	
拂	huk4	
拙	cuag4	
拚	bian3	
拚	peng1	
擡	tai5	
招	zio1	白
招	ziau1	文
披	pi1	
撥	puah4	
撥	bhuah4	又
擇	doh8	
拇	m2	
拇	bho2	又
拗	a2	方
拗	au2	
挖	uai1	
挓挲	te1 so1	
按	ang3	
擠	zi3	
擠	zin3	俗
拼	peng1	
揮	hui1	
挾	hiap8	文
挾	goih8	白
拭	sek4	
拭	cik4	俗
掛	gua3	
掛	kua3	又
掛	gue3	方
持	ti5	
拮据	kiak4 gv6	
拷	kau2	
掗	ak4	
拱	giong2	
撻	tak4	
挎	kua1	
撾	zua1	
撾	go5	
撓	nau5	
擋	dang3	
擋	dang3	文
擋	dvng3	白
拽	hi6	
𢶀	hi6	
㨟	hoi1	方
㨟	koi1	方、又
拴	cuang5	
拾	sip8	
拾	zap8	
挑	tiau1	
挑	tio1	方
挺	teng2	
括	guak4	
撟	giau2	
挌	lak8	方
指	zi2	
指	zvng2	
指	zoin2	
指	gi2	方
掙	zeng1	
掙扎	zeng1 zak4	
撏	cim5	
撏	zim5	方
挪	no5	
拯	zing2	
拶	zak4	
拶	zang2	
撈	lau5	
撈	liau5	又
振	zing2	
振	ding2	方
捕	bu6	
捂	u1	
捄	giu3	
𢭪	kioh8	方！
𢭪	kioh4	方！
捎	siau1	
捎	sau1	又
𢱡	so6	方
𢲸	lou6	方
捍	hang2	
捏	niak4	
挰	ten5	方
捉	cok4	
捆	kung2	
綑	kung2	
捐	giang1	
損	sung2	
挹	ip4	
捌	boih4	
捋	luak4	
捋	luk8	
挼	rue5	
撿	giam2	
挫	co5	
搗	dau2	
換	uan7	白
換	huang3	文
輓	mang2	
挽	mang2	
𢳟	tong2	文
𢳟	tvng2	白
𢳟	tvng7	又
捘	zung6	方
挨	ai1	文
挨	oi1	白
挨	ngai5	
捃	gung6	
揤	cik4	方
控	kong3	
掊	pou2	
掊	bue2	方
接	zih4	文
接	ziap4	白
掠	liah8	
捽	zuk4	
掂	diam1	
掖	ek8	
擲	dan6	
撣	tam5	
撢	dang6	
掞	iam7	
掞	siam3	又
捩	li6	
掮	kiang5	
掮	goin1	俗
探	tam3	
捧	pong2	
捧	hong6	又
掭	tiam3	
揶	ia5	
措	cu3	
掿	nak8	
掎	gi2	
描	miau5	文
描	bhio5	白
捱	ngai5	
捺	nap8	
捺	nai6	俗
掩	iam2	
掩	iam1	俗
㧻	doh4	方
捷	ziap8	
捯	dau2	
掯	keng2	
掉	diau7	
擄	lu2	
排	bai5	
摑	gok4	
授	siu6	
捻	niam3	
撚	niam3	
捶	dui5	
搥	dui5	
推	tui1	
推	cui1	又
捭	bai2	
掀	hvng1	
掀	hiang1	又
掀	hiaun1	俗
掬	giok4	
掏	tau5	
掐	kap4	
摻	cam1	
掇	doh8	
掇	cuak4	俗
㩋	sau3	
捸	li3	
據	gv6	
掘	guk8	
摜	guang3	
摜	guan6	方
攪	giau2	
揎	suang1	
揢	keh4	
揞	an1	
揨	dian1	方
擱	goh4	
搓	co1	
搓	ca1	俗
摟	lou2	
揂	ciu5	方
搃	zang2	
揙	biang2	
揳	kiak4	
揍	cou3	
揕	zim2	
揲	diap8	方
搭	dah4	
搽	ca5	
揸	za1	
揠	ak4	
揩	koi1	白
揩	gai1	文
攬	nam2	
提	ti5	
揖	ip4	
搵	ung3	方
揭	giah4	
揭	gik4	
揌	sai1	
揣	cui2	
援	iang6	
揄	ru5	
揄	iu5	方
撳	kim3	
撳	kim2	俗
擿	sek4	方
揪	ciu1	
插	cah4	
搜	siau1	
蒐	siau1	
攙	cam1	
搔	sau1	
揆	kui1	
揉	riu5	
摒	bing2	
握	ok4	
撧	zoh4	
掾	uang3	
搳	hak4	
擯	bing3	
搞	gau2	
搪	tang5	
搐	tek4	
搛	giam1	
搠	suak4	
搉	kak4	
搕	kap4	
攝	niap4	
搑	leng2	
摸	mo5	
摸	mou5	又
摸	mong5	俗
搏	pak4	
攄	su1	
攄	cv1	方
摁	vng1	
擺	bai2	
搖	iau5	文
搖	io5	白
擕	hi6	
搋	cui1	
搬	buan1	
攤	tuan1	
搡	suang2	
搌	diang2	
搦	nak8	
搦	nek8	又
摘	diah4	
摭	ziah4	
摝	lok4	方
摔	suk4	
摔	zuk4	又
𨄮	suk4	
𨄮	zuk4	又
㨹	zue7	方
摽	piau2	
摽	piau5	
摵	sek4	方
撇	puah4	
撂	liak8	
摞	loh8	
摧	cui1	
攖	eng1	
㨮	dau1	方
摎	liu7	方
摎	lau1	方
撖	ham3	
攛	cuang3	
撞	zuang6	
撴	dung1	
撤	tiak4	
撙	zung1	
攆	leng2	
擷	kiak4	
撕	sv1	
撒	sak4	
撒	suah4	方
擖	kak4	
撩	liau5	
撅	kiak4	
撅	giah4	方
撑	ten1	
撑	ten3	方
撮	coh4	
擒	kim5	
播	bua3	
㩍	cah4	方
撬	giau6	
撰	zuang6	
擅	siang6	
擻	sou2	
擂	lui5	
㩒	kin5	方
擀	gang2	
撼	ham2	
操	cau1	
擐	huang5	
㩹	tiap8	方
擗	pek4	
㩟	zai1	方
擦	cak4	
擩	ru2	
攃	suah4	方
擤	sang3	
擤	hvnh4	
擢	zuak8	
擢	dek8	又
擸	lah4	方
擸	luah8	方
攉	kak4	
攢	zang3	
攢	zuang3	又
攘	riang2	
攫	kiak4	
攥	zang2	
攮	lang2	
工	gang1	
巧	ka2	
巧	kiau2	文、方
鞏	kiong2	
攻	gong1	
