char	pengim	annot
嚮	hiang3	
顖	sing3	
囟	sing3	
后	hou6	
後	au6	
後	hau6	
殺	suah4	
我	ua2	
我	ngo2	又
囱	cong1	
希	hi1	
卵	nvng6	
卵	lang6	方
餚	ngau5	
卑	bi1	文
卑	bui1	白
阜	hu6	
臾	ru5	
乖	guai1	
垂	sui5	
秉	beng2	
周	ziu1	
週	ziu1	
重	dong6	
重	dang6	白
重	deng5	
拜	bai3	
復	hok8	白
復	hiun3	文
複	hok4	
禹	u2	
胤	iang6	
乘	seng5	
乘	seng6	
虒	sv1	
𣍐	bhoi6	方！
馗	kui5	
甥	seng1	
𡏩	due1	方
弒	ci3	
粵	uak8	
睾	gau1	
舞	bhu2	文
舞	mou6	白、方
舞	mong6	白、又、方
孵	hu1	
孵	bu7	訓
鼐	nai6	
鼐	nai2	又
靠	kau6	文
靠	gou6	白
⿰勿畏	mui3	方！
乙	ik4	
了	liau2	
了	liau3	
乜	mih4	
乜	mi1	
飛	bue1	白
飛	hui1	文
孑	kiak4	
孓	guak4	
孓	kuak4	俗
習	sip8	
鄉	hion1	白
鄉	hiang1	文
以	in2	
予	v5	
予	v2	
尺	cioh4	
尺	ce1	
尹	vng2	
孔	kong2	
丑	tiu2	
醜	ciu2	
醜	tiu2	俗
書	zv1	
司	si1	
發	huak4	
髮	huak4	
民	ming5	
絲	si1	
弗	huk4	
厾	doh4	
𧰵	doh4	
丞	seng5	
買	bhoi2	
盡	zing6	
乩	gi1	
亂	luang6	
亂	luang6	文
亂	ruang6	白、方
君	gung1	
君	gung6	
承	seng5	文
承	sing5	白
乳	ru2	
隸	di6	白
隸	li6	文
亟	gek4	
亟	ki3	
癸	gui3	
晝	diu6	文
晝	dau3	白、方
咫	zi2	
艴	huk4	
豫	v6	
亡	bhuang5	
亡	mang5	又
亡	bho5	古
六	lak8	
六	liu5	
亢	kang3	
市	ci6	
玄	hiang5	
產	suan2	
交	gau1	
亦	ek8	
亦	ia7	訓
亥	hai6	
亨	heng1	
畝	bhou2	
變	biang3	文
變	bin3	白
京	gian1	
享	hiang2	
卒	zuk4	
卒	zui6	
夜	ia7	
夜	men5	訓
兖	iang6	
兖	iang2	又
甿	ming5	古
氓	mang5	
帝	di3	
哀	ai1	
亮	liang6	
亭	deng5	
亳	bak4	
袞	gung2	
高	gau1	文
高	go1	白、方
商	siang1	
孰	sok8	
離	li5	
率	zuk4	
率	suk4	又
率	luk8	
就	ziu6	
臠	luang5	
稟	bing2	
裛	ip4	
雍	iong1	
豪	hau5	
膏	go1	
亶	dang2	
贏	iong5	
贏	uang5	又
襄	siang1	
贏	ian5	
羸	lui5	
羸	lui2	又
蠃	lo2	
蠃	lo5	又
亹	mung5	
亹	mui2	
馮	bang5	
沍	hu6	
沖	cong1	
衝	cong3	
次	cv3	
決	guak4	
冰	bian1	
凍	dong3	文
凍	dang3	白
況	kuang3	
冷	nen2	
冶	ia2	
冽	liak8	
淨	zeng6	
洗	siang2	
涼	liang5	
凊	cing3	方
凌	leng5	
凇	song5	
悽	ci1	
淒	ci1	
準	zung2	
准	zung2	
凋	diau1	
湊	cou3	
減	giam2	
凓	liak8	
㵾	cing3	
凜	lim2	
凝	ngeng5	文
凝	gvng5	白
凝	ngang5	方
冗	rong2	
冗	rong7	方
寫	sia2	
軍	gung1	
罕	hang2	
農	long5	
冠	guang1	
冠	guang3	
冢	tong2	
冥	meng5	文
冥	men5	
冤	uang1	
冪	mek8	
計	goi3	
訂	deng3	
訃	hu3	
認	ring7	
譏	gi1	
訐	giah4	
訏	u1	
訌	hong3	
討	to2	
讓	riang6	文
讓	riang2	方
讓	nion7	
訊	sing3	
