畀	bi6
獘	bi6
斃	bi6
敝	bi6
憋	bi6
憊	bi6
幣	bi6
婢	bi6
備	bi6
俾	bi6
避	bi7
弊	bi7
璧	biah4
壁	biah4
冰	bian1
兵	bian1
餅	bian2
丙	bian2
拚	bian3
併	bian3
鑣	bie1
鏢	bie1
錶	bie1
膘	bie1
標	bie1
表	bie2
裱	bie3
漂	bie3
彆	biek8
別	biek8
鯿	bieng1
鞭	bieng1
邊	bieng1
籩	bieng1
藊	bieng2
萹	bieng2
稨	bieng2
碥	bieng2
扁	bieng2
遍	bieng3
變	bieng3
辯	bieng6
辨	bieng6
汴	bieng6
忭	bieng6
弁	bieng6
卞	bieng6
便	bieng6
鱉	bih4
鉍	bik4
觱	bik4
筆	bik4
必	bik4
蹕	bik8
蓽	bik8
苾	bik8
篳	bik8
癟	bik8
畢	bik8
弼	bik8
嗶	bik8
㿜	bik8
鞭	bin1
邊	bin1
辮	bin1
遍	bin3
辨	bin6
邠	bing1
賓	bing1
豳	bing1
繽	bing1
濱	bing1
浜	bing1
檳	bing1
斌	bing1
彬	bing1
儐	bing1
份	bing1
乒	bing1
箅	bing2
稟	bing2
品	bing2
匾	bing2
鬢	bing3
髕	bing3
遍	bing3
臏	bing3
編	bing3
篦	bing3
殯	bing3
擯	bing3
嬪	bing3
表	biou2
莩	biou2
殍	biou2
婊	biou2
俵	biou2
彪	biu1
陂	bo1
菠	bo1
玻	bo1
波	bo1
嶓	bo1
坡	bo1
啵	bo1
寶	bo2
保	bo2
報	bo3
婆	bo5
薄	bo7
駁	boh4
舶	boh4
鉑	boh8
薄	boh8
箔	boh8
礴	boh8
泊	boh8
捌	boih4
八	boih4
版	boin2
爿	boin5
卜	bok4
蔔	bok8
僕	bok8
甭	bong2
泵	bong5
乓	bong5
鎊	bong7
磅	bong7
埠	bou1
埔	bou1
補	bou2
脯	bou2
斧	bou2
布	bou3
傅	bou3
醅	bou5
部	bou6
踄	bou7
步	bou7
哺	bou7
酺	bu1
逋	bu1
晡	bu1
怖	bu3
布	bu3
富	bu3
佈	bu3
瓠	bu5
煲	bu5
捕	bu6
哺	bu6
簸	bua3
播	bua3
鉢	buah4
缽	buah4
般	buan1
搬	buan1
半	buan3
盤	buan5
飛	bue1
杯	bue1
輩	bue3
貝	bue3
背	bue3
陪	bue5
錇	bue5
醅	bue5
賠	bue5
碚	bue5
培	bue5
𦮷	bue6
鋇	bue6
貝	bue6
誖	bue6
褙	bue6
裴	bue6
蓓	bue6
背	bue6
珮	bue6
狽	bue6
揹	bue6
掊	bue6
悖	bue6
倍	bue6
佩	bue6
焙	bue7
𩓐	buek8
𥎱	buek8
鼥	buek8
鵓	buek8
魃	buek8
餑	buek8
鈸	buek8
跋	buek8
荸	buek8
茇	buek8
脖	buek8
渤	buek8
拔	buek8
孛	buek8
勃	buek8
叛	bueng6
椑	bui1
悲	bui1
埤	bui1
卑	bui1
痱	bui3
疿	bui3
沸	bui3
蜰	bui5
肥	bui5
淝	bui5
吠	bui7
鈈	buk4
抔	buk4
不	buk4
楓	bung1
方	bung1
苯	bung2
笨	bung2
本	bung2
糞	bung3
畚	bung3
拚	bung3
飯	bung7
甭	bvng2
衩	ca1
汊	ca1
杈	ca1
搓	ca1
差	ca1
嵯	ca1
岔	ca1
