啤	bi5
𢲾	bi6
鞴	bi6
鞁	bi6
陛	bi6
閉	bi6
蹩	bi6
贔	bi6
被	bi6
蔽	bi6
瞥	bi6
畀	bi6
獘	bi6
斃	bi6
敝	bi6
憋	bi6
憊	bi6
幣	bi6
婢	bi6
備	bi6
俾	bi6
避	bi7
弊	bi7
璧	biah4
壁	biah4
冰	bian1
兵	bian1
餅	bian2
丙	bian2
拚	bian3
併	bian3
鑣	biê1
鏢	biê1
錶	biê1
膘	biê1
標	biê1
表	biê2
裱	biê3
漂	biê3
彆	biêg8
別	biêg8
鯿	biêng1
鞭	biêng1
邊	biêng1
籩	biêng1
藊	biêng2
萹	biêng2
稨	biêng2
碥	biêng2
扁	biêng2
遍	biêng3
變	biêng3
辯	biêng6
辨	biêng6
汴	biêng6
忭	biêng6
弁	biêng6
卞	biêng6
便	biêng6
鱉	bih4
鉍	big4
觱	big4
筆	big4
必	big4
蹕	big8
蓽	big8
苾	big8
篳	big8
癟	big8
畢	big8
弼	big8
嗶	big8
㿜	big8
鞭	bin1
邊	bin1
辮	bin1
遍	bin3
辨	bin6
邠	bing1
賓	bing1
豳	bing1
繽	bing1
濱	bing1
浜	bing1
檳	bing1
斌	bing1
彬	bing1
儐	bing1
份	bing1
乒	bing1
箅	bing2
稟	bing2
品	bing2
匾	bing2
鬢	bing3
髕	bing3
遍	bing3
臏	bing3
編	bing3
篦	bing3
殯	bing3
擯	bing3
嬪	bing3
表	biou2
莩	biou2
殍	biou2
婊	biou2
俵	biou2
彪	biu1
陂	bo1
菠	bo1
玻	bo1
波	bo1
嶓	bo1
坡	bo1
啵	bo1
寶	bo2
保	bo2
報	bo3
婆	bo5
薄	bo7
駁	boh4
舶	boh4
鉑	boh8
薄	boh8
箔	boh8
礴	boh8
泊	boh8
捌	boih4
八	boih4
版	boin2
爿	boin5
卜	bog4
蔔	bog8
僕	bog8
甭	bong2
泵	bong5
乓	bong5
鎊	bong7
磅	bong7
埠	bou1
埔	bou1
補	bou2
脯	bou2
斧	bou2
布	bou3
傅	bou3
醅	bou5
部	bou6
踄	bou7
步	bou7
哺	bou7
酺	bu1
逋	bu1
晡	bu1
怖	bu3
布	bu3
富	bu3
佈	bu3
瓠	bu5
煲	bu5
捕	bu6
哺	bu6
簸	bua3
播	bua3
鉢	buah4
缽	buah4
般	buan1
搬	buan1
半	buan3
盤	buan5
飛	buê1
杯	buê1
輩	buê3
貝	buê3
背	buê3
陪	buê5
錇	buê5
醅	buê5
賠	buê5
碚	buê5
培	buê5
𦮷	buê6
鋇	buê6
貝	buê6
誖	buê6
褙	buê6
裴	buê6
蓓	buê6
背	buê6
珮	buê6
狽	buê6
揹	buê6
掊	buê6
悖	buê6
倍	buê6
佩	buê6
焙	buê7
𩓐	buêg8
𥎱	buêg8
鼥	buêg8
鵓	buêg8
魃	buêg8
餑	buêg8
鈸	buêg8
跋	buêg8
荸	buêg8
茇	buêg8
脖	buêg8
渤	buêg8
拔	buêg8
孛	buêg8
勃	buêg8
叛	buêng6
椑	bui1
悲	bui1
埤	bui1
卑	bui1
痱	bui3
疿	bui3
沸	bui3
蜰	bui5
肥	bui5
淝	bui5
吠	bui7
鈈	bug4
抔	bug4
不	bug4
楓	bung1
方	bung1
苯	bung2
笨	bung2
本	bung2
糞	bung3
畚	bung3
拚	bung3
飯	bung7
甭	beng2
衩	ca1
汊	ca1
杈	ca1
搓	ca1
差	ca1
嵯	ca1
岔	ca1
叉	ca1
䟕	ca1
炒	ca2
蹅	ca3
詫	ca3
礤	ca3
姹	ca3
奼	ca3
仛	ca3
柴	ca5
垞	ca5
鍤	cah4
臿	cah4
歃	cah4
插	cah4
猜	cai1
采	cai2
踩	cai2
綵	cai2
睬	cai2
採	cai2
彩	cai2
菜	cai3
財	cai5
豺	cai5
裁	cai5
纔	cai5
材	cai5
才	cai5
鑔	cag4
錯	cag4
漆	cag4
擦	cag4
搽	cag4
察	cag4
剎	cag4
䃰	cag4
鰂	cag8
鑿	cag8
賊	cag8
驂	cam1
磣	cam1
滲	cam1
攙	cam1
摻	cam1
參	cam1
憯	cam2
慘	cam2
讖	cam3
羼	cam3
懺	cam3
儳	cam3
饞	cam5
讒	cam5
慚	cam5
慙	cam5
巉	cam5
鵮	cam7
鶬	cang1
餐	cang1
鏘	cang1
蹌	cang1
蔥	cang1
蒼	cang1
瑲	cang1
潺	cang1
滄	cang1
戧	cang1
愴	cang1
孱	cang1
創	cang1
傖	cang1
倉	cang1
鏟	cang2
蕆	cang2
剷	cang2
粲	cang3
璨	cang3
燦	cang3
熗	cang3
創	cang3
藏	cang5
田	cang5
殘	cang5
戕	cang5
鈔	cao1
耖	cao1
操	cao1
抄	cao1
剿	cao1
草	cao2
躁	cao3
譟	cao3
藻	cao3
臭	cao3
臊	cao3
燥	cao3
澡	cao3
氉	cao3
操	cao3
慥	cao3
噪	cao3
吵	cao3
螬	cao5
繅	cao5
漕	cao5
曹	cao5
巢	cao5
嘈	cao5
杈	cê1
扠	cê1
差	cê1
尺	cê1
叉	cê1
扯	cê2
廁	cê3
查	cê5
策	cêh4
冊	cêh4
膝	cêg4
粟	cêg4
測	cêg4
槭	cêg4
斥	cêg4
戚	cêg4
慼	cêg4
惻	cêg4
坼	cêg4
嘁	cêg4
僳	cêg4
側	cêg4
鯖	cên1
青	cên1
蜻	cên1
菁	cên1
腥	cên1
生	cên1
氰	cên1
星	cên1
醒	cên2
蜻	cêng1
稱	cêng1
清	cêng1
檉	cêng1
圊	cêng1
偁	cêng1
銃	cêng3
蒨	cêng3
茜	cêng3
稱	cêng3
倩	cêng3
餳	cêng5
橙	cêng5
棖	cêng5
情	cêng5
穿	cêng7
鴟	ci1
鰭	ci1
郪	ci1
蚩	ci1
萋	ci1
篪	ci1
筮	ci1
笞	ci1
癡	ci1
淒	ci1
棲	ci1
差	ci1
媸	ci1
妻	ci1
嗤	ci1
嗜	ci1
褫	ci2
試	ci3
翅	ci3
弒	ci3
刺	ci3
齊	ci5
馳	ci5
遲	ci5
蠐	ci5
蚳	ci5
薺	ci5
墀	ci5
鈰	ci6
市	ci6
飼	ci7
車	cia1
